pc_id,state,constituency_name,form6_addition_requests,form6_inward_migration,form6_outward_migration,net_migration,form7_deletion_requests,form8_correction_requests,data_origin,anchor_level
PC001,Maharashtra,Mumbai North,5445,2178,3267,-1089,580,568,synthetic,ECI_aggregate_estimate
PC002,Maharashtra,Mumbai South,3357,1930,1427,503,360,670,synthetic,ECI_aggregate_estimate
PC003,Maharashtra,Mumbai North West,4755,2969,1786,1183,274,991,synthetic,ECI_aggregate_estimate
PC004,Maharashtra,Mumbai North East,7235,4144,3091,1053,915,1033,synthetic,ECI_aggregate_estimate
PC005,Maharashtra,Mumbai North Central,2255,1055,1200,-145,191,390,synthetic,ECI_aggregate_estimate
PC006,Maharashtra,Mumbai South Central,4955,2141,2814,-673,350,597,synthetic,ECI_aggregate_estimate
PC007,Maharashtra,Pune,3637,1464,2173,-709,400,458,synthetic,ECI_aggregate_estimate
PC008,Maharashtra,Nagpur,3293,1859,1434,425,437,588,synthetic,ECI_aggregate_estimate
PC009,Maharashtra,Thane,3476,1500,1976,-476,363,457,synthetic,ECI_aggregate_estimate
PC010,Maharashtra,Nashik,5177,2167,3010,-843,715,895,synthetic,ECI_aggregate_estimate
PC011,Delhi,Chandni Chowk,5378,2959,2419,540,353,634,synthetic,ECI_aggregate_estimate
PC012,Delhi,New Delhi,6067,2228,3839,-1611,910,861,synthetic,ECI_aggregate_estimate
PC013,Delhi,North East Delhi,2160,1362,798,564,322,458,synthetic,ECI_aggregate_estimate
PC014,Delhi,East Delhi,5760,2891,2869,22,709,894,synthetic,ECI_aggregate_estimate
PC015,Delhi,North West Delhi,4240,1918,2322,-404,564,1002,synthetic,ECI_aggregate_estimate
PC016,Delhi,West Delhi,6377,2868,3509,-641,532,1410,synthetic,ECI_aggregate_estimate
PC017,Delhi,South Delhi,6080,3381,2699,682,545,937,synthetic,ECI_aggregate_estimate
PC018,Karnataka,Bangalore North,5252,3214,2038,1176,345,632,synthetic,ECI_aggregate_estimate
PC019,Karnataka,Bangalore Central,4960,2862,2098,764,330,1028,synthetic,ECI_aggregate_estimate
PC020,Karnataka,Bangalore South,2468,1105,1363,-258,345,304,synthetic,ECI_aggregate_estimate
PC021,Karnataka,Bangalore Rural,1792,963,829,134,223,428,synthetic,ECI_aggregate_estimate
PC022,Karnataka,Mysore,2618,1149,1469,-320,352,411,synthetic,ECI_aggregate_estimate
PC023,Karnataka,Mangalore,7016,2688,4328,-1640,927,1040,synthetic,ECI_aggregate_estimate
PC024,Tamil Nadu,Chennai North,2632,959,1673,-714,321,528,synthetic,ECI_aggregate_estimate
PC025,Tamil Nadu,Chennai South,6425,3898,2527,1371,536,1600,synthetic,ECI_aggregate_estimate
PC026,Tamil Nadu,Chennai Central,4177,2406,1771,635,574,902,synthetic,ECI_aggregate_estimate
PC027,Tamil Nadu,Coimbatore,1553,613,940,-327,94,156,synthetic,ECI_aggregate_estimate
PC028,Tamil Nadu,Madurai,4027,2504,1523,981,435,740,synthetic,ECI_aggregate_estimate
PC029,West Bengal,Kolkata North,2248,1355,893,462,201,549,synthetic,ECI_aggregate_estimate
PC030,West Bengal,Kolkata South,6053,3803,2250,1553,583,896,synthetic,ECI_aggregate_estimate
PC031,West Bengal,Howrah,4964,1835,3129,-1294,535,1050,synthetic,ECI_aggregate_estimate
PC032,West Bengal,Darjeeling,6728,4065,2663,1402,557,958,synthetic,ECI_aggregate_estimate
PC033,Gujarat,Ahmedabad East,2933,1727,1206,521,342,462,synthetic,ECI_aggregate_estimate
PC034,Gujarat,Ahmedabad West,6188,3633,2555,1078,311,1420,synthetic,ECI_aggregate_estimate
PC035,Gujarat,Surat,3372,1325,2047,-722,411,784,synthetic,ECI_aggregate_estimate
PC036,Gujarat,Vadodara,1475,529,946,-417,108,277,synthetic,ECI_aggregate_estimate
PC037,Rajasthan,Jaipur,5074,2784,2290,494,407,1019,synthetic,ECI_aggregate_estimate
PC038,Rajasthan,Jaipur Rural,2433,1503,930,573,319,440,synthetic,ECI_aggregate_estimate
PC039,Rajasthan,Jodhpur,7258,3037,4221,-1184,896,1374,synthetic,ECI_aggregate_estimate
PC040,Rajasthan,Udaipur,5820,3687,2133,1554,575,1310,synthetic,ECI_aggregate_estimate
PC041,Uttar Pradesh,Lucknow,2643,1642,1001,641,382,619,synthetic,ECI_aggregate_estimate
PC042,Uttar Pradesh,Kanpur,3525,1923,1602,321,188,726,synthetic,ECI_aggregate_estimate
PC043,Uttar Pradesh,Varanasi,5291,3099,2192,907,459,920,synthetic,ECI_aggregate_estimate
PC044,Uttar Pradesh,Allahabad,4538,2190,2348,-158,495,652,synthetic,ECI_aggregate_estimate
PC045,Uttar Pradesh,Agra,1518,946,572,374,139,279,synthetic,ECI_aggregate_estimate
PC046,Uttar Pradesh,Meerut,1579,896,683,213,200,258,synthetic,ECI_aggregate_estimate
PC047,Uttar Pradesh,Ghaziabad,1832,1159,673,486,237,198,synthetic,ECI_aggregate_estimate
PC048,Uttar Pradesh,Noida,7355,4397,2958,1439,1030,947,synthetic,ECI_aggregate_estimate
PC049,Telangana,Hyderabad,1785,1147,638,509,128,268,synthetic,ECI_aggregate_estimate
PC050,Telangana,Secunderabad,2551,935,1616,-681,158,415,synthetic,ECI_aggregate_estimate
PC051,Kerala,Thiruvananthapuram,2271,1057,1214,-157,117,397,synthetic,ECI_aggregate_estimate
PC052,Kerala,Ernakulam,6977,4180,2797,1383,948,1447,synthetic,ECI_aggregate_estimate
PC053,Kerala,Thrissur,5702,3421,2281,1140,347,636,synthetic,ECI_aggregate_estimate
PC054,Punjab,Amritsar,3053,1145,1908,-763,194,393,synthetic,ECI_aggregate_estimate
PC055,Punjab,Ludhiana,5105,3013,2092,921,513,929,synthetic,ECI_aggregate_estimate
PC056,Haryana,Gurugram,2889,1031,1858,-827,431,467,synthetic,ECI_aggregate_estimate
PC057,Haryana,Faridabad,2437,1451,986,465,335,599,synthetic,ECI_aggregate_estimate
PC058,Bihar,Patna Sahib,2178,824,1354,-530,131,310,synthetic,ECI_aggregate_estimate
PC059,Bihar,Gaya,2180,1318,862,456,269,228,synthetic,ECI_aggregate_estimate
PC060,Madhya Pradesh,Bhopal,2860,1789,1071,718,269,443,synthetic,ECI_aggregate_estimate
PC061,Madhya Pradesh,Indore,7050,3124,3926,-802,740,1292,synthetic,ECI_aggregate_estimate
PC062,Andhra Pradesh,Visakhapatnam,2931,1627,1304,323,261,720,synthetic,ECI_aggregate_estimate
PC063,Andhra Pradesh,Vijayawada,3015,1941,1074,867,282,658,synthetic,ECI_aggregate_estimate
PC064,Maharashtra,Maharashtra 1,5074,3258,1816,1442,434,1099,synthetic,ECI_aggregate_estimate
PC065,West Bengal,West Bengal 2,4451,2050,2401,-351,647,619,synthetic,ECI_aggregate_estimate
PC066,Bihar,Bihar 3,1773,849,924,-75,199,354,synthetic,ECI_aggregate_estimate
PC067,Madhya Pradesh,Madhya Pradesh 4,6765,4071,2694,1377,853,1240,synthetic,ECI_aggregate_estimate
PC068,Tamil Nadu,Tamil Nadu 5,3676,1527,2149,-622,316,399,synthetic,ECI_aggregate_estimate
PC069,Rajasthan,Rajasthan 6,2417,1233,1184,49,155,480,synthetic,ECI_aggregate_estimate
PC070,Karnataka,Karnataka 7,6280,3712,2568,1144,700,1302,synthetic,ECI_aggregate_estimate
PC071,Gujarat,Gujarat 8,6293,3390,2903,487,322,791,synthetic,ECI_aggregate_estimate
PC072,Andhra Pradesh,Andhra Pradesh 9,4925,2225,2700,-475,577,594,synthetic,ECI_aggregate_estimate
PC073,Odisha,Odisha 10,3005,1472,1533,-61,245,685,synthetic,ECI_aggregate_estimate
PC074,Telangana,Telangana 11,1651,787,864,-77,193,352,synthetic,ECI_aggregate_estimate
PC075,Kerala,Kerala 12,4744,2689,2055,634,544,819,synthetic,ECI_aggregate_estimate
PC076,Jharkhand,Jharkhand 13,5426,3029,2397,632,510,1323,synthetic,ECI_aggregate_estimate
PC077,Assam,Assam 14,5626,3038,2588,450,556,1153,synthetic,ECI_aggregate_estimate
PC078,Punjab,Punjab 15,4755,2853,1902,951,390,1086,synthetic,ECI_aggregate_estimate
PC079,Chhattisgarh,Chhattisgarh 16,7187,4383,2804,1579,501,984,synthetic,ECI_aggregate_estimate
PC080,Haryana,Haryana 17,6907,3848,3059,789,489,1398,synthetic,ECI_aggregate_estimate
PC081,Uttarakhand,Uttarakhand 18,5230,3398,1832,1566,412,728,synthetic,ECI_aggregate_estimate
PC082,Himachal Pradesh,Himachal Pradesh 19,2882,1168,1714,-546,248,511,synthetic,ECI_aggregate_estimate
PC083,Tripura,Tripura 20,2211,1068,1143,-75,308,412,synthetic,ECI_aggregate_estimate
PC084,Meghalaya,Meghalaya 21,1513,700,813,-113,100,271,synthetic,ECI_aggregate_estimate
PC085,Manipur,Manipur 22,5977,3728,2249,1479,683,1448,synthetic,ECI_aggregate_estimate
PC086,Nagaland,Nagaland 23,5269,2242,3027,-785,394,851,synthetic,ECI_aggregate_estimate
PC087,Goa,Goa 24,2566,1219,1347,-128,345,561,synthetic,ECI_aggregate_estimate
PC088,Arunachal Pradesh,Arunachal Pradesh 25,4699,1750,2949,-1199,484,1154,synthetic,ECI_aggregate_estimate
PC089,Mizoram,Mizoram 26,6277,3744,2533,1211,553,1004,synthetic,ECI_aggregate_estimate
PC090,Sikkim,Sikkim 27,4440,2842,1598,1244,528,851,synthetic,ECI_aggregate_estimate
PC091,Jammu and Kashmir,Jammu and Kashmir 28,2105,1249,856,393,159,364,synthetic,ECI_aggregate_estimate
PC092,Ladakh,Ladakh 29,5039,2469,2570,-101,585,687,synthetic,ECI_aggregate_estimate
