pc_id,state,constituency_name,total_requests,approved,rejected,pending,objections_raised,objections_resolved,objections_pending,freeze_period_pending,avg_processing_time_days,officers_assigned,cases_per_officer,data_origin,anchor_level
PC001,Maharashtra,Mumbai North,48140,44099,4734,0,1383,840,543,0,52.3,4,12035.0,synthetic,ECI_aggregate_estimate
PC002,Maharashtra,Mumbai South,31729,25866,1693,4170,1421,975,446,2192,45.4,11,2884.5,synthetic,ECI_aggregate_estimate
PC003,Maharashtra,Mumbai North West,44801,39538,2669,2594,2230,1519,711,1687,58.9,9,4977.9,synthetic,ECI_aggregate_estimate
PC004,Maharashtra,Mumbai North East,42873,37342,2192,3339,1268,919,349,2023,51.2,10,4287.3,synthetic,ECI_aggregate_estimate
PC005,Maharashtra,Mumbai North Central,45579,35985,2583,7011,2916,1972,944,3121,57.3,6,7596.5,synthetic,ECI_aggregate_estimate
PC006,Maharashtra,Mumbai South Central,12548,9671,1254,1623,588,369,219,506,51.4,9,1394.2,synthetic,ECI_aggregate_estimate
PC007,Maharashtra,Pune,32220,24655,3086,4479,1386,937,449,1441,72.6,5,6444.0,synthetic,ECI_aggregate_estimate
PC008,Maharashtra,Nagpur,31173,26641,3518,1014,1356,880,476,421,48.3,8,3896.6,synthetic,ECI_aggregate_estimate
PC009,Maharashtra,Thane,33250,25314,2276,5660,1052,960,92,2013,32.3,3,11083.3,synthetic,ECI_aggregate_estimate
PC010,Maharashtra,Nashik,20088,16889,1445,1754,582,523,59,1042,46.9,2,10044.0,synthetic,ECI_aggregate_estimate
PC011,Delhi,Chandni Chowk,49569,37584,2104,9881,3912,2683,1229,5886,77.1,5,9913.8,synthetic,ECI_aggregate_estimate
PC012,Delhi,New Delhi,34696,31819,2724,153,2352,1772,580,74,56.6,12,2891.3,synthetic,ECI_aggregate_estimate
PC013,Delhi,North East Delhi,24860,20991,1811,2058,1082,953,129,993,35.0,6,4143.3,synthetic,ECI_aggregate_estimate
PC014,Delhi,East Delhi,53036,43166,4038,5832,3603,2161,1442,3591,72.3,11,4821.5,synthetic,ECI_aggregate_estimate
PC015,Delhi,North West Delhi,29922,23685,2909,3328,1934,1757,177,1103,38.6,5,5984.4,synthetic,ECI_aggregate_estimate
PC016,Delhi,West Delhi,39249,31932,3344,3973,3068,2583,485,2320,53.7,9,4361.0,synthetic,ECI_aggregate_estimate
PC017,Delhi,South Delhi,56002,45357,5883,4762,974,594,380,2719,64.3,10,5600.2,synthetic,ECI_aggregate_estimate
PC018,Karnataka,Bangalore North,16615,13600,1443,1572,1224,990,234,1032,60.6,11,1510.5,synthetic,ECI_aggregate_estimate
PC019,Karnataka,Bangalore Central,24626,22375,1333,918,1546,1339,207,416,35.6,8,3078.2,synthetic,ECI_aggregate_estimate
PC020,Karnataka,Bangalore South,15177,12164,1043,1970,1006,755,251,629,36.7,6,2529.5,synthetic,ECI_aggregate_estimate
PC021,Karnataka,Bangalore Rural,22801,17949,2644,2208,391,324,67,926,53.5,11,2072.8,synthetic,ECI_aggregate_estimate
PC022,Karnataka,Mysore,35568,30696,2085,2787,2770,2397,373,1299,80.4,2,17784.0,synthetic,ECI_aggregate_estimate
PC023,Karnataka,Mangalore,24909,20071,808,4030,1077,686,391,2813,65.2,5,4981.8,synthetic,ECI_aggregate_estimate
PC024,Tamil Nadu,Chennai North,41763,37896,3508,359,2737,2328,409,123,41.8,7,5966.1,synthetic,ECI_aggregate_estimate
PC025,Tamil Nadu,Chennai South,41856,37191,1337,3328,1785,1218,567,1436,56.8,8,5232.0,synthetic,ECI_aggregate_estimate
PC026,Tamil Nadu,Chennai Central,10983,8691,726,1566,716,450,266,907,28.0,9,1220.3,synthetic,ECI_aggregate_estimate
PC027,Tamil Nadu,Coimbatore,38254,28704,3587,5963,1884,1510,374,3056,33.2,7,5464.9,synthetic,ECI_aggregate_estimate
PC028,Tamil Nadu,Madurai,18944,14473,927,3544,989,798,191,1346,62.7,3,6314.7,synthetic,ECI_aggregate_estimate
PC029,West Bengal,Kolkata North,40411,34728,4035,1648,1566,1304,262,861,61.5,10,4041.1,synthetic,ECI_aggregate_estimate
PC030,West Bengal,Kolkata South,42129,36085,1527,4517,1687,1284,403,1475,40.9,11,3829.9,synthetic,ECI_aggregate_estimate
PC031,West Bengal,Howrah,17443,16042,1977,0,855,728,127,0,55.2,12,1453.6,synthetic,ECI_aggregate_estimate
PC032,West Bengal,Darjeeling,20222,17883,2141,198,594,362,232,122,45.3,9,2246.9,synthetic,ECI_aggregate_estimate
