pc_id,state,constituency_name,total_registered_voters,male_voters,female_voters,age_18_25,age_26_40,age_41_60,age_60_plus,literacy_rate_percent,last_election_turnout_percent,data_origin,anchor_level
PC001,Maharashtra,Mumbai North,1358300,670175,688125,213996,512916,418164,213224,67.77,79.32,synthetic,ECI_aggregate_estimate
PC002,Maharashtra,Mumbai South,2775463,1448481,1326982,452489,853231,854118,615625,57.81,52.99,synthetic,ECI_aggregate_estimate
PC003,Maharashtra,Mumbai North West,2479032,1246677,1232355,423121,746640,760093,549178,78.22,67.22,synthetic,ECI_aggregate_estimate
PC004,Maharashtra,Mumbai North East,2011130,1065359,945771,389029,628622,666203,327276,91.52,76.65,synthetic,ECI_aggregate_estimate
PC005,Maharashtra,Mumbai North Central,2815908,1393304,1422604,504269,1069442,836592,405605,64.8,72.61,synthetic,ECI_aggregate_estimate
PC006,Maharashtra,Mumbai South Central,1157798,556012,601786,184952,370414,369993,232439,55.97,61.55,synthetic,ECI_aggregate_estimate
PC007,Maharashtra,Pune,1640664,824404,816260,273374,580905,473314,313071,74.1,81.13,synthetic,ECI_aggregate_estimate
PC008,Maharashtra,Nagpur,1250600,601939,648661,245345,427972,356391,220892,67.55,68.74,synthetic,ECI_aggregate_estimate
PC009,Maharashtra,Thane,3062214,1511146,1551068,554951,945747,877693,683823,59.54,62.8,synthetic,ECI_aggregate_estimate
PC010,Maharashtra,Nashik,1789918,866086,923832,312933,618445,518237,340303,61.0,66.18,synthetic,ECI_aggregate_estimate
PC011,Delhi,Chandni Chowk,1934284,992448,941836,362902,588113,667029,316240,65.67,75.29,synthetic,ECI_aggregate_estimate
PC012,Delhi,New Delhi,2573428,1389318,1184110,514769,833112,890402,335145,85.68,50.91,synthetic,ECI_aggregate_estimate
PC013,Delhi,North East Delhi,1670750,815811,854939,338769,557258,560873,213850,75.29,53.5,synthetic,ECI_aggregate_estimate
PC014,Delhi,East Delhi,2809082,1439662,1369420,576084,869497,952160,411341,74.66,78.98,synthetic,ECI_aggregate_estimate
PC015,Delhi,North West Delhi,2147029,1045443,1101586,430000,716034,713718,287277,60.6,47.46,synthetic,ECI_aggregate_estimate
PC016,Delhi,West Delhi,2290381,1201244,1089137,502333,863743,781200,143105,78.52,58.72,synthetic,ECI_aggregate_estimate
PC017,Delhi,South Delhi,1937947,933256,1004691,404303,732577,587404,213663,70.17,51.39,synthetic,ECI_aggregate_estimate
PC018,Karnataka,Bangalore North,1728413,914731,813682,300394,537280,522730,368009,76.3,61.22,synthetic,ECI_aggregate_estimate
